Format,2.0A,
Memory Length,5000,
Trigger Level,0.00V,
Source,CH1,
Label,ACK,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,5.800E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Sampling Period,4.000E-04,
Firmware,V1.21,
Time,07-Mar-23 20:09:59,
Mode,Detail,
Waveform Data,
-8.272000e-01,4.60e-01,
-8.268000e-01,5.00e-01,
-8.264000e-01,5.20e-01,
-8.260000e-01,4.80e-01,
-8.256000e-01,5.40e-01,
-8.252000e-01,5.00e-01,
-8.248000e-01,5.20e-01,
-8.244000e-01,5.60e-01,
-8.240000e-01,5.80e-01,
-8.236000e-01,5.40e-01,
-8.232000e-01,6.00e-01,
-8.228000e-01,5.60e-01,
-8.224000e-01,6.20e-01,
-8.220000e-01,5.80e-01,
-8.216000e-01,6.20e-01,
-8.212000e-01,5.80e-01,
-8.208000e-01,6.40e-01,
-8.204000e-01,6.00e-01,
-8.200000e-01,6.40e-01,
-8.196000e-01,6.20e-01,
-8.192000e-01,6.40e-01,
-8.188000e-01,6.20e-01,
-8.184000e-01,6.20e-01,
-8.180000e-01,6.60e-01,
-8.176000e-01,6.40e-01,
-8.172000e-01,6.80e-01,
-8.168000e-01,6.40e-01,
-8.164000e-01,6.80e-01,
-8.160000e-01,6.40e-01,
-8.156000e-01,6.80e-01,
-8.152000e-01,6.60e-01,
-8.148000e-01,6.80e-01,
-8.144000e-01,6.60e-01,
-8.140000e-01,6.80e-01,
-8.136000e-01,6.60e-01,
-8.132000e-01,6.80e-01,
-8.128000e-01,6.60e-01,
-8.124000e-01,7.00e-01,
-8.120000e-01,7.00e-01,
-8.116000e-01,6.60e-01,
-8.112000e-01,7.00e-01,
-8.108000e-01,6.60e-01,
-8.104000e-01,7.00e-01,
-8.100000e-01,7.00e-01,
-8.096000e-01,6.60e-01,
-8.092000e-01,6.80e-01,
-8.088000e-01,6.60e-01,
-8.084000e-01,7.00e-01,
-8.080000e-01,6.60e-01,
-8.076000e-01,6.80e-01,
-8.072000e-01,6.60e-01,
-8.068000e-01,6.80e-01,
-8.064000e-01,6.40e-01,
-8.060000e-01,6.80e-01,
-8.056000e-01,6.40e-01,
-8.052000e-01,6.80e-01,
-8.048000e-01,6.80e-01,
-8.044000e-01,6.40e-01,
-8.040000e-01,6.60e-01,
-8.036000e-01,6.40e-01,
-8.032000e-01,6.60e-01,
-8.028000e-01,6.60e-01,
-8.024000e-01,6.20e-01,
-8.020000e-01,6.40e-01,
-8.016000e-01,6.20e-01,
-8.012000e-01,6.40e-01,
-8.008000e-01,6.00e-01,
-8.004000e-01,6.20e-01,
-8.000000e-01,5.80e-01,
-7.996000e-01,6.20e-01,
-7.992000e-01,5.80e-01,
-7.988000e-01,6.00e-01,
-7.984000e-01,5.60e-01,
-7.980000e-01,5.80e-01,
-7.976000e-01,5.40e-01,
-7.972000e-01,5.60e-01,
-7.968000e-01,5.60e-01,
-7.964000e-01,5.20e-01,
-7.960000e-01,5.40e-01,
-7.956000e-01,5.00e-01,
-7.952000e-01,5.20e-01,
-7.948000e-01,5.00e-01,
-7.944000e-01,4.60e-01,
-7.940000e-01,4.80e-01,
-7.936000e-01,4.40e-01,
-7.932000e-01,4.60e-01,
-7.928000e-01,4.20e-01,
-7.924000e-01,4.40e-01,
-7.920000e-01,4.20e-01,
-7.916000e-01,3.80e-01,
-7.912000e-01,4.00e-01,
-7.908000e-01,3.40e-01,
-7.904000e-01,3.60e-01,
